star_id,tmass_id,tmass_distance,tmass_angle,ra,dec,start_time,end_time,jmag,hmag,kmag,lcfilter,npts
XO-DR1_1158,2MASS J16071255+3020399,2.307841,31.941732,241.8019,30.3439,2453080.14,2453566.05,10.483,10.147,9.998,W (XO),2991
XO-DR1_1159,2MASS J16101678+3208313,2.794805,-55.653778,242.5707,32.1416,2453080.14,2453566.05,10.838,10.608,10.573,W (XO),3013
XO-DR1_115,2MASS J16044128+3209297,2.111544,95.184158,241.1713,32.1583,2453080.14,2453566.05,8.451,8.244,8.238,W (XO),3432
XO-DR1_1160,2MASS J15470169+3015455,3.921271,69.469398,236.7559,30.2623,2453080.14,2453566.05,9.845,9.296,9.143,W (XO),2916
XO-DR1_1161,2MASS J15515439+3037489,0.346716,4.612026,237.9767,30.6302,2453080.14,2453566.05,10.291,9.802,9.738,W (XO),3023
XO-DR1_1163,2MASS J15481591+3420446,14.245398,-90.95433,237.0711,34.3458,2453080.14,2453566.05,9.7,9.064,8.925,W (XO),1486
XO-DR1_1164,2MASS J15530877+2943010,1.2053,25.176849,238.2864,29.7167,2453080.14,2453566.05,10.357,9.982,9.908,W (XO),2852
XO-DR1_1166,2MASS J16025091+2809341,6.459602,117.516457,240.7103,28.1603,2453080.14,2453566.05,9.116,8.359,8.148,W (XO),2981
XO-DR1_1167,2MASS J16120225+3419104,19.724556,32.731373,243.0058,34.315,2453080.14,2453566.05,10.115,9.613,9.5,W (XO),2730
XO-DR1_1169,2MASS J15451352+3249445,3.298322,-123.899269,236.3073,32.8295,2453080.14,2453566.05,10.864,10.644,10.614,W (XO),2889
XO-DR1_116,2MASS J15490206+2838220,4.176594,-69.726166,237.2599,28.6391,2453080.14,2453566.05,6.8,6.088,5.861,W (XO),3425
XO-DR1_1170,2MASS J15445571+3104476,4.321479,99.34845,236.2308,31.0801,2453080.14,2453566.05,10.538,10.198,10.137,W (XO),2911
XO-DR1_1171,2MASS J16053480+2843022,5.576998,96.52301,241.3933,28.7175,2453080.14,2453566.05,10.802,10.593,10.567,W (XO),2957
XO-DR1_1172,2MASS J16105484+3130084,5.860106,-44.199272,242.7299,31.5012,2453080.14,2453566.05,10.446,10.127,10.049,W (XO),2688
XO-DR1_1173,2MASS J15545065+3328017,2.507622,-90.164284,238.7119,33.4671,2453080.14,2453566.05,10.777,10.522,10.437,W (XO),2922
XO-DR1_1174,2MASS J15574928+3321424,3.303637,-9.53473,239.4555,33.3609,2453080.14,2453566.05,10.311,9.902,9.82,W (XO),2994
XO-DR1_1175,2MASS J15590316+3026362,6.065335,86.221977,239.7612,30.4433,2453080.14,2453566.05,10.66,10.343,10.248,W (XO),2952
XO-DR1_1176,2MASS J15594400+2928465,3.537871,63.466988,239.9323,29.4792,2453080.14,2453566.05,10.391,9.962,9.909,W (XO),2980
XO-DR1_1178,2MASS J16054528+3330089,8.638543,48.944828,241.4365,33.5009,2453080.14,2453566.05,10.863,10.542,10.531,W (XO),2971
